Timestamp, Q1.  What is your age group?  ,Q2.  What is your approximate monthly income (in Naira)? ,Q3.  What is your current employment status? ,Q4.  How would you describe the consistency of your income? ,Q1.  I trust that Cowrywise will keep my money safe. ,Q2.  I am confident that Cowrywise has adequate security measures to protect my personal data. ,Q3.  The fact that Cowrywise is regulated by the SEC increases my confidence in the platform. ,Q4.  I trust Cowrywise more than traditional informal savings methods like Ajo/Esusu. ,Q5.  Past negative news about Nigerian fintech companies makes me hesitant to fully trust Cowrywise. ,Q1.  How would you rate your overall financial knowledge? ,"Q2.  Before using Cowrywise, did you understand how interest on digital savings works?",Q3.   How did your level of financial knowledge influence your decision to use Cowrywise?   ,"Q4.  In your view, what would most improve your confidence in using digital savings platforms like Cowrywise? ",Q1.  How did you first hear about Cowrywise? ,"Q2.  Did seeing others save on Cowrywise (friends, family, or social media) influence your decision to join? ",Q3. Financial influencers on social media made digital savings feel more trustworthy and accessible to me.   ,Q4.  Positive reviews and testimonials online increased my confidence in using Cowrywise. ,Q1.  The Cowrywise app is easy to navigate and use. ,Q2.  The onboarding / sign-up process was straightforward and quick. ,"Q3.  Overall, my experience with Cowrywise has positively influenced my savings behaviour. "
3/23/2026 19:09:37,18 – 24,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,They could provide clearer and more transparent fees as well as easier goal-setting tools ,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Neutral,Agree,Strongly Agree,Agree
3/23/2026 19:12:36,25 – 34,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly disagree,Good – I am comfortable with most financial concepts,"Yes, fully",I felt confident enough to join because of my financial knowledge,"not so much confidence, its the ease ",Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
3/23/2026 19:14:13,25 – 34,"Below ₦100,000",Student,Moderately irregular – varies month to month,Agree,Disagree,Neutral,Disagree,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Introduction of block chain technology.,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Neutral,Agree,Agree,Neutral
3/23/2026 19:20:16,25 – 34,"₦100,000 – ₦250,000",Self-employed / Entrepreneur,Highly irregular – unpredictable income,Neutral,Neutral,Neutral,Neutral,Neutral,Basic – I understand savings but not investments,"No, I still do not fully understand",Limited knowledge has prevented me from using certain features on the platform,I have no knowledge on it currently ,Other (please specify): ____________________________,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 20:01:04,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Agree,Agree,Agree,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Nothing ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Neutral,Agree,Agree,Agree
3/23/2026 20:04:32,18 – 24,Prefer not to say,Student,Moderately irregular – varies month to month,Agree,Agree,Agree,Neutral,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,My income ,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 20:09:29,18 – 24,"Below ₦100,000",Student,Moderately irregular – varies month to month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Diagree,Strongly Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,If it's highly secured ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 20:17:31,18 – 24,"Below ₦100,000",Student,Very stable – same amount every month,Neutral,Neutral,Neutral,Neutral,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Neutral,Instagram / Twitter (X) / TikTok advertisement,I am not sure,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 20:41:30,25 – 34,"Below ₦100,000",Student,Highly irregular – unpredictable income,Neutral,Neutral,Agree,Agree,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Security and ease,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Neutral,Agree,Agree,Neutral
3/23/2026 20:51:59,18 – 24,"Below ₦100,000",Student,Highly irregular – unpredictable income,Agree,Agree,Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Because is trusted and reliable and it help me to save well ,Financial influencer or content creator,I am not sure,Agree,Agree,Agree,Neutral,Strongly Agree
